,Rating,Review Title,Review Body
0,5,Must buy!,Nice
1,5,Terrific purchase,I Love this mi tv. All good no problem on this tv. 😍
2,5,Mind-blowing purchase,Good 👍👍👍
3,4,Value-for-money,Tv was awesome looking slim and fabulous and I value for money totally happy
4,5,Must buy!,"Very good product, picture quality awesome"
5,5,Excellent,Awesome product buy it now 😄 hd quality
6,4,Very Good,Good
7,5,Terrific,Value of money nice product picture quality is really good colour combination is outstanding sound quality is very good
8,5,Highly recommended,Very nice picture quality and good sound quality price according very  very wonderful
9,3,Does the job,Product is ok 👍 but installation and delivery process gives very much bad experience .
10,5,Excellent,"I'm writing this review on 28th feb 2024 :-Purchased this one for my parents. At this price range you can go for it without any issue. It's been 4 months now, product is running good. I'm very happy with delivery and installation. Bought it at INR 9749 with bank offer, which was delivered on 17th October and installed by 19th October 2023."
11,5,Wonderful,Best TV....Super Value for money product....You can blindly buy this product without any regrets..❤️❤️❤️❤️
12,5,Super!,This Is Good 😊
13,5,Must buy!,Best picture quality
14,5,Must buy!,Worth of money.
15,4,Really Nice,"Without any doubt purchase MI TV, Best quality tv. Sound quality is excellent."
16,4,Pretty good,All over good in budget and feel awesome
17,5,Terrific,"I got it for 10k only, and at this price range, I can say this is one of the best options available in the market you should go for... Justify its price very well."
18,4,Very Good,Valu of mony...
19,4,Good choice,Nice 👍
20,4,Wonderful,"Awesome picture and sound, totally value for money."
21,4,Worth the money,Super video Quality
22,4,Delightful,I don't know more about this TV If it's all over good for me then I am given feedback with rating Now I am done for this enough.
23,4,Really Nice,My grandmother is using this one she likes she doesn't know tht much she is happy wt she having
24,4,Really Nice,Nice product 😊👍
25,4,Good quality product,Value for money
26,4,Value-for-money,Nice Tv Thank You Flipkart And Mi
27,4,Delightful,Good smart tv on this price range
28,4,Wonderful,Till now the tv is running smoothly and its value for money. Installation was also good. I will let everyone know if any issues happen.
29,4,Value-for-money,Nice product and save money other brands
30,4,Really Nice,Value for money
31,4,Value-for-money,Unbelievable product
32,4,Nice product,Good.i am happy
33,3,Good,Screen cast not properly work
34,5,Simply awesome,Current Market Best TV.Overall a good product.
35,3,Decent product,Good sound quality.
36,3,Nice,Not Good picture quality
37,5,Great product,Perfect Tv
38,5,Great product,Sound quality is goodPicture good
39,5,Perfect product!,Best Google TV in Google TV segment
40,5,Terrific,Excellent product nice pitcher quality Especially Sound quality is awesome.
41,5,Wonderful,Good Product  But Delivery  Is Very bad
42,5,Brilliant,Everything amazing...Brevo zulu
43,5,Mind-blowing purchase,NICE ❤️
44,5,Mind-blowing purchase,Very good very good very nice
45,5,Super!,Thanks Flipkart 👍
46,5,Excellent,Nice sounds
47,5,Brilliant,picture quality good 👍👍👍👍
48,5,Simply awesome,Value product
49,5,Brilliant,Good product
50,5,Excellent,The LED is very good and the company is also great mi
51,5,Fabulous!,Good product but install person very bad
52,5,Must buy!,India's best TV 😍🔝💯💯
53,5,Terrific,The home log is very happy with this TV.. 🤗🤗🤗
54,5,Wonderful,TV good but picture quality 3 stars only but all very good
55,5,Terrific purchase,Overall good product but Lil overpriced
56,5,Brilliant,"I previously had Blaupunkt 32 TV bought in January 2019, which had outdated operating system(Android 5), outdated apps and display issues (Replaced display once and again facing display issue). This TV is far better compared to previous TV and has nice features. Google TV with Android 11, RAM 1.5 GB, Internal storage: 8GB (would have been better with 16 GB). Updated apps and Overall nice experience compared to my previous TV."
57,5,Best in the market!,Nice
58,5,Just wow!,Price and quality are also good. It is value for money but I upset in the installation process. They are install 3 day after the delivery. Plz make it faster
59,5,Mind-blowing purchase,Good please buy this product.. best
60,5,Fabulous!,Good product
61,5,Highly recommended,"Excellent product, I love it."
62,5,Best in the market!,Very good item.
63,5,Terrific,Very Nice Tv in the 10 k price Range. Sound Quality us very good Like a Home theatre.
64,5,Worth every penny,Good Quality
65,5,Terrific purchase,Very good product absolute value for moneyVery good picture quality.... easy connectivity with Wi-Fi or Bluetooth....or any devicesThank you Flipkart ❤️
66,5,Perfect product!,"I have been using this product for more than 15 days. Here are few things i really liked about this TV:-1. Picture quality is superb, crisp Clear image.2. Downfiring speakers are loud too 3.connectivity is smooth and fast4. Usb devices work flawless"
67,5,Perfect product!,Product is good but delivery is slow
68,5,Terrific,Perfect in this price
69,5,Must buy!,Good let seee how much its last
70,5,Terrific purchase,Very nice product. Most VFM product. Photos and videos can't justify the quality. The product is overall very good. You can definitely go for it. And delivery and installation also very fast
71,5,Mind-blowing purchase,Best SMART TV in this range Go for it blindly
72,5,Simply awesome,Nice 👍
73,5,Wonderful,It' s a good sound quality .it' s a most beautiful product .connecting easily
74,5,Awesome,Ok
75,5,Worth every penny,Using this TV for 2 DaysOne day Delivery.Same day installationNice sound of TVGood Picture clarityConnectivity is excellentOverall experience is Excellent till now
76,5,Terrific,Super quality
77,5,Terrific,Very nice product awesome
78,5,Perfect product!,Amazing tv clarity and sound quality.
79,5,Super!,Good jobs
80,5,Super!,Very nice product 👍 love you so much MI 😍and delivery person so humble and the installation person is too good 👍
81,5,Great product,Good Product.
82,5,Classy product,Good Quality. Installation on timely 👌.
83,5,Wonderful,Good product
84,5,Terrific purchase,Nice products
85,5,Simply awesome,Super
86,4,Nice product,Product is good ... But worst costomer service 😢
87,3,Nice,My review after three month tv is good but some time auto restart
88,3,Does the job,Good 👍
89,3,Good,Very good.mi
